               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.021579,            0.008745,                   0,             0.99789,             0.99183,             0.99484,             0.78773,            0.021162,           0.0034205,                   0,             0.00847,             0.00847,             0.00847
                 104,            0.021302,           0.0086991,                   0,             0.99658,             0.99183,             0.99483,             0.78755,            0.021148,           0.0034212,                   0,            0.008455,            0.008455,            0.008455
                 105,            0.021233,           0.0086748,                   0,             0.99658,             0.99182,             0.99482,             0.78753,            0.021114,           0.0034207,                   0,             0.00844,             0.00844,             0.00844
                 106,            0.021284,            0.008591,                   0,             0.99658,             0.99182,             0.99482,             0.78848,            0.021081,           0.0034207,                   0,            0.008425,            0.008425,            0.008425
                 107,            0.021057,           0.0086277,                   0,             0.99657,             0.99183,             0.99482,             0.78851,            0.021056,           0.0034236,                   0,             0.00841,             0.00841,             0.00841
                 108,            0.021303,           0.0085884,                   0,             0.99657,             0.99183,             0.99482,             0.78877,            0.021057,           0.0034271,                   0,            0.008395,            0.008395,            0.008395
                 109,            0.021277,            0.008686,                   0,             0.99657,             0.99183,             0.99484,             0.78852,            0.021053,           0.0034291,                   0,             0.00838,             0.00838,             0.00838
                 110,            0.021175,           0.0085639,                   0,             0.99726,             0.99242,             0.99485,             0.78871,            0.021036,           0.0034296,                   0,            0.008365,            0.008365,            0.008365
                 111,            0.021064,            0.008611,                   0,             0.99655,             0.99251,             0.99485,             0.78886,            0.021026,           0.0034313,                   0,             0.00835,             0.00835,             0.00835
                 112,            0.021124,           0.0086773,                   0,             0.99658,             0.99249,             0.99485,              0.7887,             0.02103,           0.0034324,                   0,            0.008335,            0.008335,            0.008335
                 113,            0.021284,           0.0086066,                   0,             0.99654,             0.99251,             0.99486,             0.78856,            0.021039,           0.0034316,                   0,             0.00832,             0.00832,             0.00832
                 114,            0.021124,           0.0087051,                   0,             0.99658,             0.99249,             0.99486,             0.78902,            0.021048,           0.0034321,                   0,            0.008305,            0.008305,            0.008305
                 115,            0.020925,           0.0085687,                   0,             0.99726,             0.99182,             0.99487,             0.78832,            0.021059,           0.0034337,                   0,             0.00829,             0.00829,             0.00829
                 116,            0.020874,           0.0085432,                   0,             0.99724,             0.99183,             0.99487,              0.7884,            0.021068,           0.0034355,                   0,            0.008275,            0.008275,            0.008275
                 117,            0.020941,            0.008575,                   0,             0.99791,             0.99183,             0.99487,             0.78831,            0.021069,           0.0034355,                   0,             0.00826,             0.00826,             0.00826
                 118,            0.020844,           0.0085022,                   0,             0.99789,             0.99114,             0.99487,             0.78885,            0.021075,           0.0034349,                   0,            0.008245,            0.008245,            0.008245
                 119,            0.020885,           0.0085962,                   0,              0.9979,             0.99114,             0.99487,             0.78892,             0.02108,           0.0034342,                   0,             0.00823,             0.00823,             0.00823
                 120,            0.020828,           0.0084931,                   0,              0.9979,             0.99114,             0.99487,             0.78876,            0.021085,           0.0034337,                   0,            0.008215,            0.008215,            0.008215
                 121,            0.020864,            0.008536,                   0,              0.9959,             0.99251,             0.99488,             0.78901,            0.021092,           0.0034333,                   0,              0.0082,              0.0082,              0.0082
                 122,            0.020899,           0.0085077,                   0,             0.99794,             0.99107,             0.99488,             0.78897,            0.021112,           0.0034342,                   0,            0.008185,            0.008185,            0.008185
                 123,            0.020988,           0.0085641,                   0,             0.99794,             0.99046,             0.99489,             0.78931,            0.021117,           0.0034347,                   0,             0.00817,             0.00817,             0.00817
                 124,            0.020854,           0.0084333,                   0,             0.99794,             0.99113,             0.99489,             0.78952,            0.021124,           0.0034372,                   0,            0.008155,            0.008155,            0.008155
                 125,            0.020749,           0.0084746,                   0,             0.99794,             0.99114,             0.99489,             0.78862,            0.021121,           0.0034389,                   0,             0.00814,             0.00814,             0.00814
                 126,            0.020575,           0.0084269,                   0,             0.99726,             0.99044,             0.99481,             0.78912,            0.021118,           0.0034396,                   0,            0.008125,            0.008125,            0.008125
                 127,            0.020657,           0.0084632,                   0,             0.99726,             0.99043,             0.99481,             0.78905,            0.021113,           0.0034391,                   0,             0.00811,             0.00811,             0.00811
                 128,            0.020643,           0.0084564,                   0,             0.99724,             0.99046,             0.99481,             0.78966,            0.021115,           0.0034394,                   0,            0.008095,            0.008095,            0.008095
                 129,            0.020631,           0.0084105,                   0,             0.99722,             0.99046,             0.99481,             0.78939,            0.021112,           0.0034398,                   0,             0.00808,             0.00808,             0.00808
                 130,            0.020688,            0.008451,                   0,             0.99722,             0.99046,             0.99481,             0.78983,            0.021111,           0.0034404,                   0,            0.008065,            0.008065,            0.008065
                 131,            0.020303,           0.0084109,                   0,             0.99725,             0.99046,             0.99481,              0.7888,             0.02111,            0.003441,                   0,             0.00805,             0.00805,             0.00805
                 132,            0.020425,           0.0084055,                   0,             0.99725,             0.99046,             0.99482,             0.78922,            0.021108,           0.0034403,                   0,            0.008035,            0.008035,            0.008035
                 133,            0.020594,           0.0084057,                   0,             0.99724,             0.99046,             0.99481,             0.78946,            0.021105,           0.0034401,                   0,             0.00802,             0.00802,             0.00802
                 134,            0.020655,           0.0083407,                   0,             0.99655,             0.98978,             0.99473,             0.78948,            0.021098,           0.0034402,                   0,            0.008005,            0.008005,            0.008005
                 135,            0.020418,           0.0083244,                   0,             0.99655,             0.98978,             0.99473,             0.78943,            0.021102,           0.0034399,                   0,             0.00799,             0.00799,             0.00799
                 136,            0.020578,           0.0084245,                   0,             0.99588,              0.9891,             0.99471,             0.78968,            0.021112,           0.0034395,                   0,            0.007975,            0.007975,            0.007975
                 137,            0.020672,           0.0083639,                   0,             0.99588,             0.98908,             0.99471,             0.78954,            0.021116,           0.0034397,                   0,             0.00796,             0.00796,             0.00796
                 138,            0.020309,           0.0084741,                   0,             0.99588,             0.98908,             0.99472,              0.7894,            0.021122,           0.0034397,                   0,            0.007945,            0.007945,            0.007945
                 139,            0.020523,            0.008388,                   0,             0.99588,              0.9891,             0.99472,             0.78972,            0.021115,           0.0034386,                   0,             0.00793,             0.00793,             0.00793
                 140,            0.020342,           0.0083946,                   0,             0.99588,             0.98908,             0.99471,             0.78989,            0.021113,           0.0034376,                   0,            0.007915,            0.007915,            0.007915
                 141,            0.020461,             0.00842,                   0,             0.99588,             0.98909,             0.99471,             0.78993,            0.021115,           0.0034375,                   0,              0.0079,              0.0079,              0.0079
                 142,            0.020339,           0.0084652,                   0,             0.99586,              0.9891,             0.99472,             0.78999,            0.021109,           0.0034368,                   0,            0.007885,            0.007885,            0.007885
                 143,            0.020354,           0.0083264,                   0,             0.99588,              0.9891,             0.99473,             0.79006,            0.021102,           0.0034361,                   0,             0.00787,             0.00787,             0.00787
                 144,            0.020376,           0.0083585,                   0,             0.99588,             0.98908,             0.99473,             0.79036,            0.021104,           0.0034353,                   0,            0.007855,            0.007855,            0.007855
                 145,            0.020339,           0.0084329,                   0,             0.99588,             0.98909,             0.99472,             0.79023,            0.021107,           0.0034346,                   0,             0.00784,             0.00784,             0.00784
                 146,            0.020245,           0.0083043,                   0,             0.99519,              0.9891,             0.99472,             0.79048,            0.021112,           0.0034342,                   0,            0.007825,            0.007825,            0.007825
                 147,            0.020205,           0.0084194,                   0,             0.99587,              0.9891,             0.99473,             0.79053,             0.02112,           0.0034345,                   0,             0.00781,             0.00781,             0.00781
